title;artist;feeling
Trapped;2Pac;Aggressive
Dirty Deeds Done Dirt Cheap;Ac Dc;Aggressive
Im Crying;Animals;Aggressive
Come To Daddy;Aphex Twin;Aggressive
Bug Powder Dust;Bomb The Bass;Aggressive
Dream Police;Cheap Trick;Aggressive
Hate;Hybris;Aggressive
Last Depression;Skitzo;Aggressive
Crawlspace;Soulprint;Aggressive
Aint Talkin Bout Love;Van Halen;Aggressive
Come To Daddy;Aphex Twin;Altered With Effects
Don T Look Back;Artemis;Altered With Effects
Where Its At;Beck;Altered With Effects
Bug Powder Dust;Bomb The Bass;Altered With Effects
Video Killed The Radio Star;Buggles;Altered With Effects
Come Undone;Duran Duran;Altered With Effects
Hate;Hybris;Altered With Effects
I Have Been Floated;Olivia Tremor Control;Altered With Effects
Hold Me Thrill Me Kiss Me Kill Me;U2;Altered With Effects
Prince Charming;Adam And The Ants;Alternative
Where Its At;Beck;Alternative
In The Street;Big Star;Alternative
More Than A Feeling;Boston;Alternative
Video Killed The Radio Star;Buggles;Alternative
He War;Cat Power;Alternative
Speedway;Counting Crows;Alternative
Wonderful Tonight;Eric Clapton;Alternative
Come On Home;Franz Ferdinand;Alternative
Where Youll Find Me Now;Neutral Milk Hotel;Alternative
I Have Been Floated;Olivia Tremor Control;Alternative
Behind The Wall Of Sleep;Smithereens;Alternative
Gangsters;Specials;Alternative
Stay;Spinecar;Alternative
Hold Me Thrill Me Kiss Me Kill Me;U2;Alternative
Sister Havana;Urge Overkill;Alternative
Don T Look Back;Artemis;Ambient Sounds
Survival;Beth Quist;Ambient Sounds
Setting Sun;Chemical Brothers;Ambient Sounds
Too Slow;Domased;Ambient Sounds
Come Undone;Duran Duran;Ambient Sounds
D B L;Ivilion;Ambient Sounds
Porcelain;Moby;Ambient Sounds
Knysnamushrooms;Mr Gelatine;Ambient Sounds
Echoes;Pink Floyd;Ambient Sounds
Trapped;2Pac;Angry
Dirty Deeds Done Dirt Cheap;Ac Dc;Angry
Come To Daddy;Aphex Twin;Angry
Bug Powder Dust;Bomb The Bass;Angry
The Bridge Is Over;Boogie Down Productions;Angry
Hate;Hybris;Angry
D B L;Ivilion;Angry
Immigrant Song;Led Zeppelin;Angry
Last Depression;Skitzo;Angry
Crawlspace;Soulprint;Angry
Stay;Spinecar;Angry
New World;Strawbs;Angry
Trapped;2Pac;Arousing
Dirty Deeds Done Dirt Cheap;Ac Dc;Arousing
Dude Looks Like A Lady;Aerosmith;Arousing
Boogie Woogie Bugle Boy;Andrews Sisters;Arousing
Im Crying;Animals;Arousing
Cant Get Enough Of Your Love Babe;Barry White;Arousing
Saturday Night;Bay City Rollers;Arousing
Stayin Alive;Bee Gees;Arousing
You Cant Judge A Book By Its Cover;Bo Diddley;Arousing
Bug Powder Dust;Bomb The Bass;Arousing
The Bridge Is Over;Boogie Down Productions;Arousing
More Than A Feeling;Boston;Arousing
Im A Slave For You;Britney Spears;Arousing
Do You Love Me;Contours;Arousing
Chains Of Love;Erasure;Arousing
Come On Home;Franz Ferdinand;Arousing
I Will Survive;Gloria Gaynor;Arousing
Little L;Jamiroquai;Arousing
Immigrant Song;Led Zeppelin;Arousing
Ray Of Light;Madonna;Arousing
Every Little Thing She Does Is Magic;Police;Arousing
Take California;Propellerheads;Arousing
Last Depression;Skitzo;Arousing
Laz 7 8;Solace;Arousing
Strode Rode;Sonny Rollins;Arousing
Gangsters;Specials;Arousing
Born To Be Wild;Steppenwolf;Arousing
What Love Has Joined Together;Syreeta;Arousing
Hold Me Thrill Me Kiss Me Kill Me;U2;Arousing
Sister Havana;Urge Overkill;Arousing
Bargain;Who;Arousing
For You And I;10Cc;Backing Vocals
Trapped;2Pac;Backing Vocals
Fallin;Alicia Keys;Backing Vocals
Jesus Hands;American Music Club;Backing Vocals
Im Crying;Animals;Backing Vocals
Solid;Ashford And Simpson;Backing Vocals
I Get Around;Beach Boys;Backing Vocals
One Last Love Song;Beautiful South;Backing Vocals
Stayin Alive;Bee Gees;Backing Vocals
In The Street;Big Star;Backing Vocals
The Bridge Is Over;Boogie Down Productions;Backing Vocals
Video Killed The Radio Star;Buggles;Backing Vocals
He War;Cat Power;Backing Vocals
Do You Love Me;Contours;Backing Vocals
Teach Your Children;Crosby Stills Nash And Young;Backing Vocals
Come Undone;Duran Duran;Backing Vocals
Chains Of Love;Erasure;Backing Vocals
Come On Home;Franz Ferdinand;Backing Vocals
Heaven S The Place;Grayson Wray;Backing Vocals
Torn;Natalie Imbruglia;Backing Vocals
I Have Been Floated;Olivia Tremor Control;Backing Vocals
Every Little Thing She Does Is Magic;Police;Backing Vocals
Walking In The Rain;Ronettes;Backing Vocals
No Mans Woman;Sinad Oconnor;Backing Vocals
Just Like A Baby;Sly And The Family Stone;Backing Vocals
Ooo Baby Baby;Smokey Robinson And The Miracles;Backing Vocals
What Love Has Joined Together;Syreeta;Backing Vocals
Since I Lost My Baby;Temptations;Backing Vocals
Beechwood Park;Zombies;Backing Vocals
Trapped;2Pac;Bass Guitar
Elected;Alice Cooper;Bass Guitar
Caught Up In The Rapture;Anita Baker;Bass Guitar
Wave;Antonio Carlos Jobim;Bass Guitar
King Harvest Has Surely Come;Band;Bass Guitar
Saturday Night;Bay City Rollers;Bass Guitar
I Get Around;Beach Boys;Bass Guitar
Sometimes In Winter;Blood Sweat And Tears;Bass Guitar
Bug Powder Dust;Bomb The Bass;Bass Guitar
More Than A Feeling;Boston;Bass Guitar
Video Killed The Radio Star;Buggles;Bass Guitar
Goodbye On A Beautiful Day;Burnshee Thornside;Bass Guitar
Wasnt Born To Follow;Byrds;Bass Guitar
Lovefool;Cardigans;Bass Guitar
Dream Police;Cheap Trick;Bass Guitar
Speedway;Counting Crows;Bass Guitar
Teach Your Children;Crosby Stills Nash And Young;Bass Guitar
I Will Survive;Gloria Gaynor;Bass Guitar
Hate;Hybris;Bass Guitar
Little L;Jamiroquai;Bass Guitar
Immigrant Song;Led Zeppelin;Bass Guitar
Who Can It Be Now;Men At Work;Bass Guitar
Torn;Natalie Imbruglia;Bass Guitar
Where Youll Find Me Now;Neutral Milk Hotel;Bass Guitar
Every Little Thing She Does Is Magic;Police;Bass Guitar
Take California;Propellerheads;Bass Guitar
Last Depression;Skitzo;Bass Guitar
Strode Rode;Sonny Rollins;Bass Guitar
Gangsters;Specials;Bass Guitar
Stay;Spinecar;Bass Guitar
New World;Strawbs;Bass Guitar
What Love Has Joined Together;Syreeta;Bass Guitar
Sister Havana;Urge Overkill;Bass Guitar
Bargain;Who;Bass Guitar
Bust A Move;Young Mc;Bass Guitar
Beechwood Park;Zombies;Bass Guitar
For You And I;10Cc;Boring
Bonita Applebum;A Tribe Called Quest;Boring
Tell It Like It Is;Aaron Neville;Boring
Jesus Hands;American Music Club;Boring
Caught Up In The Rapture;Anita Baker;Boring
Alices Restaurant Massacree;Arlo Guthrie;Boring
Don T Look Back;Artemis;Boring
Sweet Little Angel;B.B. King;Boring
Cant Get Enough Of Your Love Babe;Barry White;Boring
One Last Love Song;Beautiful South;Boring
Like Dylan In The Movies;Belle And Sebastian;Boring
Survival;Beth Quist;Boring
Sometimes In Winter;Blood Sweat And Tears;Boring
Goodbye On A Beautiful Day;Burnshee Thornside;Boring
Wasnt Born To Follow;Byrds;Boring
On The Road Again;Canned Heat;Boring
He War;Cat Power;Boring
Mood Indigo;Charles Mingus;Boring
Speedway;Counting Crows;Boring
Teach Your Children;Crosby Stills Nash And Young;Boring
Walk On By;Dionne Warwick;Boring
Catch The Wind;Donovan;Boring
Come Undone;Duran Duran;Boring
Wonderful Tonight;Eric Clapton;Boring
Heaven S The Place;Grayson Wray;Boring
Jag S Rag;Jag;Boring
Porcelain;Moby;Boring
Being Boring;Pet Shop Boys;Boring
Echoes;Pink Floyd;Boring
Sail Away;Randy Newman;Boring
Just Like A Baby;Sly And The Family Stone;Boring
Behind The Wall Of Sleep;Smithereens;Boring
Beechwood Park;Zombies;Boring
For You And I;10Cc;Calming
Bonita Applebum;A Tribe Called Quest;Calming
Tell It Like It Is;Aaron Neville;Calming
Jesus Hands;American Music Club;Calming
Caught Up In The Rapture;Anita Baker;Calming
Alices Restaurant Massacree;Arlo Guthrie;Calming
Sweet Little Angel;B.B. King;Calming
One Last Love Song;Beautiful South;Calming
Like Dylan In The Movies;Belle And Sebastian;Calming
Sometimes In Winter;Blood Sweat And Tears;Calming
Mood Indigo;Charles Mingus;Calming
Speedway;Counting Crows;Calming
Teach Your Children;Crosby Stills Nash And Young;Calming
Walk On By;Dionne Warwick;Calming
Come Undone;Duran Duran;Calming
Wonderful Tonight;Eric Clapton;Calming
Fire And Rain;James Taylor;Calming
Peaceful Planet;Kourosh Zolani;Calming
Porcelain;Moby;Calming
Where Youll Find Me Now;Neutral Milk Hotel;Calming
Being Boring;Pet Shop Boys;Calming
Echoes;Pink Floyd;Calming
Sail Away;Randy Newman;Calming
Just Like A Baby;Sly And The Family Stone;Calming
Ooo Baby Baby;Smokey Robinson And The Miracles;Calming
Keep On Movin;Soul Ii Soul;Calming
Heres Where The Story Ends;Sundays;Calming
What Love Has Joined Together;Syreeta;Calming
Since I Lost My Baby;Temptations;Calming
Beechwood Park;Zombies;Calming
Trapped;2Pac;Catchy
Dirty Deeds Done Dirt Cheap;Ac Dc;Catchy
Dude Looks Like A Lady;Aerosmith;Catchy
Fallin;Alicia Keys;Catchy
Boogie Woogie Bugle Boy;Andrews Sisters;Catchy
Im Crying;Animals;Catchy
Caught Up In The Rapture;Anita Baker;Catchy
Solid;Ashford And Simpson;Catchy
Cant Get Enough Of Your Love Babe;Barry White;Catchy
Saturday Night;Bay City Rollers;Catchy
I Get Around;Beach Boys;Catchy
Where Its At;Beck;Catchy
Stayin Alive;Bee Gees;Catchy
You Cant Judge A Book By Its Cover;Bo Diddley;Catchy
Bug Powder Dust;Bomb The Bass;Catchy
More Than A Feeling;Boston;Catchy
Im A Slave For You;Britney Spears;Catchy
Video Killed The Radio Star;Buggles;Catchy
Lovefool;Cardigans;Catchy
Do You Love Me;Contours;Catchy
Walk On By;Dionne Warwick;Catchy
Chains Of Love;Erasure;Catchy
Come On Home;Franz Ferdinand;Catchy
I Will Survive;Gloria Gaynor;Catchy
Little L;Jamiroquai;Catchy
Immigrant Song;Led Zeppelin;Catchy
Ray Of Light;Madonna;Catchy
Every Little Thing She Does Is Magic;Police;Catchy
Keep On Movin;Soul Ii Soul;Catchy
Born To Be Wild;Steppenwolf;Catchy
Since I Lost My Baby;Temptations;Catchy
Hotel Yorba;White Stripes;Catchy
Bargain;Who;Catchy
Fallin;Alicia Keys;Changing Energy
Solid;Ashford And Simpson;Changing Energy
King Harvest Has Surely Come;Band;Changing Energy
Where Its At;Beck;Changing Energy
More Than A Feeling;Boston;Changing Energy
Walking In The Rain;Ronettes;Changing Energy
Dude Looks Like A Lady;Aerosmith;Cheerful
Boogie Woogie Bugle Boy;Andrews Sisters;Cheerful
Wave;Antonio Carlos Jobim;Cheerful
Saturday Night;Bay City Rollers;Cheerful
I Get Around;Beach Boys;Cheerful
Where Its At;Beck;Cheerful
Stayin Alive;Bee Gees;Cheerful
You Cant Judge A Book By Its Cover;Bo Diddley;Cheerful
More Than A Feeling;Boston;Cheerful
Video Killed The Radio Star;Buggles;Cheerful
Lovefool;Cardigans;Cheerful
Dream Police;Cheap Trick;Cheerful
Do You Love Me;Contours;Cheerful
Chains Of Love;Erasure;Cheerful
I Will Survive;Gloria Gaynor;Cheerful
Little L;Jamiroquai;Cheerful
Who Can It Be Now;Men At Work;Cheerful
Every Little Thing She Does Is Magic;Police;Cheerful
Walking In The Rain;Ronettes;Cheerful
Strode Rode;Sonny Rollins;Cheerful
Gangsters;Specials;Cheerful
Born To Be Wild;Steppenwolf;Cheerful
What Love Has Joined Together;Syreeta;Cheerful
Hotel Yorba;White Stripes;Cheerful
Bust A Move;Young Mc;Cheerful
Dirty Deeds Done Dirt Cheap;Ac Dc;Classic Rock
Dude Looks Like A Lady;Aerosmith;Classic Rock
Elected;Alice Cooper;Classic Rock
Im Crying;Animals;Classic Rock
King Harvest Has Surely Come;Band;Classic Rock
Saturday Night;Bay City Rollers;Classic Rock
Stayin Alive;Bee Gees;Classic Rock
In The Street;Big Star;Classic Rock
More Than A Feeling;Boston;Classic Rock
Dream Police;Cheap Trick;Classic Rock
Teach Your Children;Crosby Stills Nash And Young;Classic Rock
Wonderful Tonight;Eric Clapton;Classic Rock
Immigrant Song;Led Zeppelin;Classic Rock
Who Can It Be Now;Men At Work;Classic Rock
Every Little Thing She Does Is Magic;Police;Classic Rock
Behind The Wall Of Sleep;Smithereens;Classic Rock
Born To Be Wild;Steppenwolf;Classic Rock
Bargain;Who;Classic Rock
For You And I;10Cc;Cleaning The House
Wave;Antonio Carlos Jobim;Cleaning The House
Saturday Night;Bay City Rollers;Cleaning The House
More Than A Feeling;Boston;Cleaning The House
Dream Police;Cheap Trick;Cleaning The House
Do You Love Me;Contours;Cleaning The House
Ray Of Light;Madonna;Cleaning The House
Behind The Wall Of Sleep;Smithereens;Cleaning The House
Born To Be Wild;Steppenwolf;Cleaning The House
Bonita Applebum;A Tribe Called Quest;Cold
Survival;Beth Quist;Cold
In The Street;Big Star;Cold
Video Killed The Radio Star;Buggles;Cold
Too Slow;Domased;Cold
Heaven S The Place;Grayson Wray;Cold
Jag S Rag;Jag;Cold
Peaceful Planet;Kourosh Zolani;Cold
Knysnamushrooms;Mr Gelatine;Cold
Echoes;Pink Floyd;Cold
Born To Be Wild;Steppenwolf;Cold
Bust A Move;Young Mc;Cold
Trapped;2Pac;Constant Energy
Tell It Like It Is;Aaron Neville;Constant Energy
Jesus Hands;American Music Club;Constant Energy
Im Crying;Animals;Constant Energy
Wave;Antonio Carlos Jobim;Constant Energy
Alices Restaurant Massacree;Arlo Guthrie;Constant Energy
Sweet Little Angel;B.B. King;Constant Energy
I Get Around;Beach Boys;Constant Energy
One Last Love Song;Beautiful South;Constant Energy
Like Dylan In The Movies;Belle And Sebastian;Constant Energy
Survival;Beth Quist;Constant Energy
You Cant Judge A Book By Its Cover;Bo Diddley;Constant Energy
The Bridge Is Over;Boogie Down Productions;Constant Energy
Goodbye On A Beautiful Day;Burnshee Thornside;Constant Energy
On The Road Again;Canned Heat;Constant Energy
Mood Indigo;Charles Mingus;Constant Energy
Setting Sun;Chemical Brothers;Constant Energy
Do You Love Me;Contours;Constant Energy
Catch The Wind;Donovan;Constant Energy
Come Undone;Duran Duran;Constant Energy
Wonderful Tonight;Eric Clapton;Constant Energy
Fire And Rain;James Taylor;Constant Energy
Little L;Jamiroquai;Constant Energy
Where Youll Find Me Now;Neutral Milk Hotel;Constant Energy
Being Boring;Pet Shop Boys;Constant Energy
Just Like A Baby;Sly And The Family Stone;Constant Energy
Ooo Baby Baby;Smokey Robinson And The Miracles;Constant Energy
Keep On Movin;Soul Ii Soul;Constant Energy
Gangsters;Specials;Constant Energy
Stay;Spinecar;Constant Energy
Since I Lost My Baby;Temptations;Constant Energy
Like White On Rice;Thursday Group;Constant Energy
Bust A Move;Young Mc;Constant Energy
Alices Restaurant Massacree;Arlo Guthrie;Country
Wasnt Born To Follow;Byrds;Country
Jag S Rag;Jag;Country
Fire And Rain;James Taylor;Country
Hotel Yorba;White Stripes;Country
Dude Looks Like A Lady;Aerosmith;Danceable
Boogie Woogie Bugle Boy;Andrews Sisters;Danceable
I Get Around;Beach Boys;Danceable
Stayin Alive;Bee Gees;Danceable
You Cant Judge A Book By Its Cover;Bo Diddley;Danceable
Bug Powder Dust;Bomb The Bass;Danceable
Im A Slave For You;Britney Spears;Danceable
Dream Police;Cheap Trick;Danceable
Do You Love Me;Contours;Danceable
Chains Of Love;Erasure;Danceable
I Will Survive;Gloria Gaynor;Danceable
Little L;Jamiroquai;Danceable
Ray Of Light;Madonna;Danceable
Every Little Thing She Does Is Magic;Police;Danceable
Take California;Propellerheads;Danceable
Bust A Move;Young Mc;Danceable
Trapped;2Pac;Depressed
Bonita Applebum;A Tribe Called Quest;Depressed
Dirty Deeds Done Dirt Cheap;Ac Dc;Depressed
Prince Charming;Adam And The Ants;Depressed
Elected;Alice Cooper;Depressed
Fallin;Alicia Keys;Depressed
Jesus Hands;American Music Club;Depressed
Come To Daddy;Aphex Twin;Depressed
Don T Look Back;Artemis;Depressed
Sweet Little Angel;B.B. King;Depressed
One Last Love Song;Beautiful South;Depressed
Survival;Beth Quist;Depressed
Bug Powder Dust;Bomb The Bass;Depressed
The Bridge Is Over;Boogie Down Productions;Depressed
Wasnt Born To Follow;Byrds;Depressed
He War;Cat Power;Depressed
Setting Sun;Chemical Brothers;Depressed
Speedway;Counting Crows;Depressed
Walk On By;Dionne Warwick;Depressed
Come Undone;Duran Duran;Depressed
Hate;Hybris;Depressed
D B L;Ivilion;Depressed
Immigrant Song;Led Zeppelin;Depressed
Porcelain;Moby;Depressed
Knysnamushrooms;Mr Gelatine;Depressed
Torn;Natalie Imbruglia;Depressed
Where Youll Find Me Now;Neutral Milk Hotel;Depressed
Echoes;Pink Floyd;Depressed
Last Depression;Skitzo;Depressed
Laz 7 8;Solace;Depressed
Crawlspace;Soulprint;Depressed
Stay;Spinecar;Depressed
New World;Strawbs;Depressed
Aint Talkin Bout Love;Van Halen;Depressed
Elected;Alice Cooper;Distorted Electric Guitar
Saturday Night;Bay City Rollers;Distorted Electric Guitar
In The Street;Big Star;Distorted Electric Guitar
More Than A Feeling;Boston;Distorted Electric Guitar
Wasnt Born To Follow;Byrds;Distorted Electric Guitar
Lovefool;Cardigans;Distorted Electric Guitar
He War;Cat Power;Distorted Electric Guitar
Come On Home;Franz Ferdinand;Distorted Electric Guitar
Hate;Hybris;Distorted Electric Guitar
Where Youll Find Me Now;Neutral Milk Hotel;Distorted Electric Guitar
Last Depression;Skitzo;Distorted Electric Guitar
Behind The Wall Of Sleep;Smithereens;Distorted Electric Guitar
Crawlspace;Soulprint;Distorted Electric Guitar
Gangsters;Specials;Distorted Electric Guitar
Trapped;2Pac;Driving
Dirty Deeds Done Dirt Cheap;Ac Dc;Driving
Dude Looks Like A Lady;Aerosmith;Driving
Fallin;Alicia Keys;Driving
Im Crying;Animals;Driving
Saturday Night;Bay City Rollers;Driving
Where Its At;Beck;Driving
In The Street;Big Star;Driving
You Cant Judge A Book By Its Cover;Bo Diddley;Driving
More Than A Feeling;Boston;Driving
Do You Love Me;Contours;Driving
Teach Your Children;Crosby Stills Nash And Young;Driving
Wonderful Tonight;Eric Clapton;Driving
Come On Home;Franz Ferdinand;Driving
I Will Survive;Gloria Gaynor;Driving
Immigrant Song;Led Zeppelin;Driving
Every Little Thing She Does Is Magic;Police;Driving
Born To Be Wild;Steppenwolf;Driving
Sister Havana;Urge Overkill;Driving
Trapped;2Pac;Drum Machine
The Bridge Is Over;Boogie Down Productions;Drum Machine
Setting Sun;Chemical Brothers;Drum Machine
Come Undone;Duran Duran;Drum Machine
Chains Of Love;Erasure;Drum Machine
Come On Home;Franz Ferdinand;Drum Machine
Ray Of Light;Madonna;Drum Machine
Torn;Natalie Imbruglia;Drum Machine
Take California;Propellerheads;Drum Machine
No Mans Woman;Sinad Oconnor;Drum Machine
Keep On Movin;Soul Ii Soul;Drum Machine
For You And I;10Cc;Drum Set
Tell It Like It Is;Aaron Neville;Drum Set
Dirty Deeds Done Dirt Cheap;Ac Dc;Drum Set
Elected;Alice Cooper;Drum Set
Im Crying;Animals;Drum Set
Alices Restaurant Massacree;Arlo Guthrie;Drum Set
King Harvest Has Surely Come;Band;Drum Set
Cant Get Enough Of Your Love Babe;Barry White;Drum Set
Saturday Night;Bay City Rollers;Drum Set
Like Dylan In The Movies;Belle And Sebastian;Drum Set
In The Street;Big Star;Drum Set
Sometimes In Winter;Blood Sweat And Tears;Drum Set
More Than A Feeling;Boston;Drum Set
Video Killed The Radio Star;Buggles;Drum Set
Goodbye On A Beautiful Day;Burnshee Thornside;Drum Set
Wasnt Born To Follow;Byrds;Drum Set
On The Road Again;Canned Heat;Drum Set
Lovefool;Cardigans;Drum Set
He War;Cat Power;Drum Set
Dream Police;Cheap Trick;Drum Set
Do You Love Me;Contours;Drum Set
Speedway;Counting Crows;Drum Set
Wonderful Tonight;Eric Clapton;Drum Set
I Will Survive;Gloria Gaynor;Drum Set
Heaven S The Place;Grayson Wray;Drum Set
Hate;Hybris;Drum Set
Fire And Rain;James Taylor;Drum Set
Immigrant Song;Led Zeppelin;Drum Set
Who Can It Be Now;Men At Work;Drum Set
Every Little Thing She Does Is Magic;Police;Drum Set
Last Depression;Skitzo;Drum Set
Just Like A Baby;Sly And The Family Stone;Drum Set
Behind The Wall Of Sleep;Smithereens;Drum Set
Ooo Baby Baby;Smokey Robinson And The Miracles;Drum Set
Strode Rode;Sonny Rollins;Drum Set
Crawlspace;Soulprint;Drum Set
Gangsters;Specials;Drum Set
Stay;Spinecar;Drum Set
Born To Be Wild;Steppenwolf;Drum Set
New World;Strawbs;Drum Set
What Love Has Joined Together;Syreeta;Drum Set
Since I Lost My Baby;Temptations;Drum Set
Like White On Rice;Thursday Group;Drum Set
Sister Havana;Urge Overkill;Drum Set
Aint Talkin Bout Love;Van Halen;Drum Set
Hotel Yorba;White Stripes;Drum Set
Bargain;Who;Drum Set
Beechwood Park;Zombies;Drum Set
For You And I;10Cc;Electric
Trapped;2Pac;Electric
Bonita Applebum;A Tribe Called Quest;Electric
Dirty Deeds Done Dirt Cheap;Ac Dc;Electric
Prince Charming;Adam And The Ants;Electric
Dude Looks Like A Lady;Aerosmith;Electric
Elected;Alice Cooper;Electric
Fallin;Alicia Keys;Electric
Im Crying;Animals;Electric
Caught Up In The Rapture;Anita Baker;Electric
Come To Daddy;Aphex Twin;Electric
Solid;Ashford And Simpson;Electric
King Harvest Has Surely Come;Band;Electric
Cant Get Enough Of Your Love Babe;Barry White;Electric
Saturday Night;Bay City Rollers;Electric
I Get Around;Beach Boys;Electric
Where Its At;Beck;Electric
Stayin Alive;Bee Gees;Electric
In The Street;Big Star;Electric
More Than A Feeling;Boston;Electric
Goodbye On A Beautiful Day;Burnshee Thornside;Electric
Wasnt Born To Follow;Byrds;Electric
Lovefool;Cardigans;Electric
He War;Cat Power;Electric
Dream Police;Cheap Trick;Electric
Setting Sun;Chemical Brothers;Electric
Do You Love Me;Contours;Electric
Speedway;Counting Crows;Electric
Too Slow;Domased;Electric
Come Undone;Duran Duran;Electric
Wonderful Tonight;Eric Clapton;Electric
Come On Home;Franz Ferdinand;Electric
I Will Survive;Gloria Gaynor;Electric
Heaven S The Place;Grayson Wray;Electric
Hate;Hybris;Electric
D B L;Ivilion;Electric
Little L;Jamiroquai;Electric
Immigrant Song;Led Zeppelin;Electric
Ray Of Light;Madonna;Electric
Who Can It Be Now;Men At Work;Electric
Porcelain;Moby;Electric
Knysnamushrooms;Mr Gelatine;Electric
Torn;Natalie Imbruglia;Electric
Where Youll Find Me Now;Neutral Milk Hotel;Electric
I Have Been Floated;Olivia Tremor Control;Electric
Echoes;Pink Floyd;Electric
Every Little Thing She Does Is Magic;Police;Electric
Walking In The Rain;Ronettes;Electric
No Mans Woman;Sinad Oconnor;Electric
Last Depression;Skitzo;Electric
Just Like A Baby;Sly And The Family Stone;Electric
Behind The Wall Of Sleep;Smithereens;Electric
Keep On Movin;Soul Ii Soul;Electric
Crawlspace;Soulprint;Electric
Gangsters;Specials;Electric
Stay;Spinecar;Electric
Born To Be Wild;Steppenwolf;Electric
Like White On Rice;Thursday Group;Electric
Hold Me Thrill Me Kiss Me Kill Me;U2;Electric
Sister Havana;Urge Overkill;Electric
Aint Talkin Bout Love;Van Halen;Electric
Bargain;Who;Electric
Bust A Move;Young Mc;Electric
Beechwood Park;Zombies;Electric
Dude Looks Like A Lady;Aerosmith;Electric Guitar
Elected;Alice Cooper;Electric Guitar
Im Crying;Animals;Electric Guitar
King Harvest Has Surely Come;Band;Electric Guitar
Cant Get Enough Of Your Love Babe;Barry White;Electric Guitar
I Get Around;Beach Boys;Electric Guitar
Where Its At;Beck;Electric Guitar
In The Street;Big Star;Electric Guitar
Lovefool;Cardigans;Electric Guitar
Dream Police;Cheap Trick;Electric Guitar
Do You Love Me;Contours;Electric Guitar
Wonderful Tonight;Eric Clapton;Electric Guitar
Little L;Jamiroquai;Electric Guitar
Who Can It Be Now;Men At Work;Electric Guitar
Torn;Natalie Imbruglia;Electric Guitar
Echoes;Pink Floyd;Electric Guitar
Every Little Thing She Does Is Magic;Police;Electric Guitar
